term,phrase,meaninglanguage1,meaning1,meaninglanguage2,meaning2
stolpern,"gute Kämpfer, aber einige stolpern über die Mäuseschwänze",en,"stumble, trip",,
weiches,denen man Goldmuster in weiches Leder drückte … Meggie schob,en,"adj. soft, fluffy, smooth",,
stehende,"Kopf durch die offen stehende Tür – und sah, wie",en,"standing, upright, erect",,
schwerter,gegeneinander und benutzen ihre Schwerter,en,"(das, -er) n. pl. swords",,
einschlug,ein Buch in Packpapier einschlug,en,"hammered, smashed",,
abgegriffen,"aus blassgrünem Leinen sah abgegriffen aus, doch mehr konnte",en,worn,,
rieche,"so laut, und ich rieche Rauch",en,smell,,
finster,"sprachlos vor Schreck, so finster war sein Gesicht",en,"adj. - gloomy, dour, bleak, ominous; adv. - similar",,
schießt,Ein Soldat schießt mit der Spielzeugkanone. PENG,en,shoots,,
knisterte,Und hinter seinem Rücken knisterte das Packpapier,en,crackled,,
eingeschlagen,"das er in Packpapier eingeschlagen hatte, war nicht dabei",en,"v. drive into; choose as a target, make a choice",,
beherrschen,...du die Sprache schon beherrschen.,en,"to master,  dominate",,
münze,"am Himmel, wie eine Münze, die jemand dort oben",en,(die) n.  coin,,
roch,"...Morgen, der nach Regen roch.",en,(ich) v. prät. smelled,,
abfiel,"…bewachsenen Abhang, der steil abfiel zum Ufer eines großen…",en,"fell away, (dropped, fell)",,
glänzenden,"…mit all den matt glänzenden Spitzen, ein Tor aus…",en,"shiny, glossy, bright",,
verhindern,"gibt!« Meggie konnte nicht verhindern, dass ihre Stimme vor",en,"prevent, avert, hinder, block, thwart, foil, stop, withhold",,
so etwas in der art,So etwas in der Art.« Staubfinger griff in die,en,something like that,,
beschäftigte,Aber noch mehr beschäftigte sie eine andere Frage,en,was concerned with; was preoccupied with,,
vorbeizog,"Die Welt, die vorbeizog, sah schon jetzt fremd",en,filed past,,
zählte,"indem sie die Tunnel zählte, doch als der neunte",en,counted,,
weist,Kommissar Gandolf weist auf einen Stuhl.,en,"show, guide, direct, point, indicate",,
zerrissene,"FRAU SCHNEIDER: — Eine alte, zerrissene! Jeans, wie es jetzt...",en,torn,,
dazu,"Tomaten, Gurken und trinke dazu eine Tasse Tee oder",en,"in addition, to it, to",,
wäre,Wie wäre es um achtzehn Uhr...,en,"would be, would",,
lasse,Zur Kontrolle lasse ich ihn ins Krankenhaus...,en,"let, allow",,
unternehmen,er möchte lieber etwas unternehmen,en,"to do, to make, to perform, to execute",,
erhalten,"Tutor eine Schreibübung korrigiert, erhalten Sie einen Bericht",en,receive,,
gestalt,...Steuer sitzt eine weiße Gestalt.,en,"(die) figure, shape, structure",,
stock,Er ist im ersten Stock und schaut auf die...,en,"(der, -:e) n. stick, cane, pointer, baton, cue; floor, level of a building, story",,
wiederholen,...Wörter und Sätze regelmäßig wiederholen.,en,"repeat, reiterate",,
sorge,Keine Sorge. Ich nehme meinen Tablet...,en,"(die) care, concern, worry",,
erschrocken,...und Jan sehen sich erschrocken an.,en,"scared, fearful, terrified, frightened",,
geführt,"...Flasche Ingwerbier zu Gemüte geführt, und jetzt, wo die...",en,"guided, conducted, lead to",,
seltsames,...aus dem Schrank ein seltsames Seufzen:,en,strange,,
gemüte,"...eine Flasche Ingwerbier zu Gemüte geführt, und jetzt, wo...",en,"(der, -e) n. pl. mind, brain,",,
was meinst du wohl,"Was meinst du wohl, wie weit der Gang...",en,what do you think,,
herumstöbern,...lieber wollte er weiter herumstöbern.,en,"to pry, to poke about, to snoop around",,
gesamtschule,Das heißt dann Gesamtschule.,en,"comprehensive school,   also goes to class 10 and has the possibility to change to the gymnasium to study higher levels and complete the arbitur",,
lehrlinge,Man nennt sie Lehrlinge oder Auszubildende (kurz: Azubis).,en,"apprentices, novices",,
schulzeit,...der Realschule ist die Schulzeit nicht ganz vorbei.,en,schooldays; school time,,
erkundigte,...das nächste Haus anfängt?“ erkundigte er sich.,en,"v.  enquire, investigate, ask, question",,
tischler,"...Kaufmann oder -frau, als Tischler oder als Fabrikarbeiter?",en,"n.  carpenter, woodworker, one who makes things out of wood, joiner",,
mauern,"Es sieht nur Mauern und Fenster, Wo ist…",en,"(die, -n) n. pl. stonewalls, walls",,
realschule,"Wählt es die Realschule, denkt man, es wird...",en,(die) secondary school,,
hauptschule,Die Hauptschule ist für all die...,en,secondary modern school,,
lehrstelle,...sehr viele Hauptschüler eine Lehrstelle.,en,"(die) apprenticeship place, place where training takes place",,
absolventen,"...heute sogar Abiturienten, also Absolventen des Gymnasiums.",en,"graduates, alumni",,
auszubildende,...nennt sie Lehrlinge oder Auszubildende (kurz: Azubis).,en,(der)  trainee,,
azubis,...Lehrlinge oder Auszubildende (kurz: Azubis).,en,"(der, -s) n. pl. apprentices, trainees",,
installateure,"Friseure und Installateure, Elektriker und Bankkaufleute müssen...",en,(der) plumber,,
bankkaufleute,"...und Installateure, Elektriker und Bankkaufleute müssen ihren Beruf ja...",en,Bank clerks,,
reg dich bloß nicht so auf,Nein danke!“ „Reg dich bloß nicht so auf!,en,just don't get so excited,,
traditionellerweise,Das geschieht in Deutschland traditionellerweise in der Praxis.,en,traditionally,,
handelskammer,"...bei der Industrie- und Handelskammer) und werden Friseur-, Elektriker...",en,Bureau of Trade,,
tischlergeselle,"...werden Friseur-, Elektriker-oder Tischlergeselle.",en,journeyman carpenter,,
eingezogen,"...leer, seit wir hier eingezogen sind.“ „Dann müssen wir...",en,"moved in; collected, pulled in;",,
gesellen,...schon im Mittelalter gingen Gesellen nach ihrer Prüfung ein...,en,"(der, -n) n. pl. qualified workers, journeymans",,
wanderschaft,"...Prüfung ein Jahr auf Wanderschaft, zogen von Stadt zu...",en,wanderings,,
zogen,"...ein Jahr auf Wanderschaft, zogen von Stadt zu Stadt...",en,"pull, tug, drag",,
geselle,...Jahren Berufspraxis kann der Geselle / die Gesellin eine zweite...,en,"(der, -n) n. worker, companion, journeyman",,
abschlussprüfung,...Hauptschüler später noch die Abschlussprüfung der Realschule machen.,en,(die) final examination,,
langfristige,...guten Chancen auf eine langfristige Arbeitsstelle.,en,"langfristig adj. long term, long period, long range",,
entscheiden,...vermute Sie haben zu entscheiden ob Sie mehr Verantwortung...,en,"decide, choose",,
stimmte,"Das stimmte, das war wirklich meine…",en,"agree, attuned, correspond, to be right;
to vote",,
einflößend,Es sah Furcht einflößend aus mit all den…,en,"instilling, infusing",,
selbstsüchtigen,"…ihrer Lieblingsgeschichten, die vom selbstsüchtigen Riesen, der keine Kinder…",en,selfish,,
steil,"…dicht bewachsenen Abhang, der steil abfiel zum Ufer eines…",en,steep,,
ertrunken,"…wie Berge, die darin ertrunken waren.",en,drowned,,
schaffen,Werde ich alles zeitlich schaffen,en,"make, do; manage, handle; create, produce, cause, make happen; work, labor",,
voll,Voll Panik sieht Nina ihren...,en,"adv. completely, entirely, to the full, totally",,
abteil,Sie ist allein im Abteil und will eine Illustrierte…,en,(das) compartment,,
illustrierte,…Abteil und will eine Illustrierte lesen.,en,"(die)  magazine, glossy, (v) I/he/she/it illustrated",,
unangenehm,"…die Wahrheit ist so unangenehm, dass man am liebsten…",en,"unpleasant, comfortable",,
sonderangebot,"…Nur 120 Euro im Sonderangebot, das letzte Exemplar.",en,"special deal, sale",,
währenddessen,Währenddessen steht seine Freundin Hanna…,en,"meanwhile, in the intervening time",,
grauenhaft,"…ihr, dass er einfach grauenhaft ist?“, denkt Marc.",en,"Gruesome, atrocious",,
schnäppchen,…das war ein richtiges Schnäppchen. Nur 120 Euro im…,en,(das) bargain,,
anlügen,…möchte sie auch nicht anlügen. Also greift er zu…,en,lie to,,
greift,…auch nicht anlügen. Also greift er zu einer besonderen…,en,"finger, touch, feel, grasp, hold, comprehend",,
beleidigend,"…so, dass es nicht beleidigend ist:",en,"harmful, abusive",,
quittung,…ihrer Handtasche nach der Quittung.,en,receipt (die),,
außergewöhnlich,…dieser Hut ist wirklich außergewöhnlich!,en,"bizar, strange, unusual, phenomenal, out of the ordinary, extraordinary, striking; outstanding, notable, conspicuous, prominent",,
ehrliche,"…gerne mag, möchte eine ehrliche Meinung zu etwas.",en,"sincere, truthful, candid, frank",,
apfelsinen,So viele Apfelsinen?,en,(die Apfelsine) orange,,
schwesterherz,"Schwesterherz, Sams Klamotten sind total…",en,little sister,,
schaf,Und ein Schaf für meinen Hals.,en,(das) Sheep,,
brieffreund,Er ist mein Brieffreund.,en,(der) pen pal,,
hundefutter,"Wir brauchen Eier, Äpfel, Hundefutter!",en,(das) Dog Food,,
dienstboten,Meine... Deine Dienstboten?“,en,"servant, attendant",,
sarong,Der Sarong sieht doch gut aus.,en,type of skirt,,
blöd,Wie blöd!,en,"stupid, dumb, foolish",,
messen,Dann müssen wir Sie messen.,en,(die Messe) exhibition; fair; mass,,
brustumfang,Brustumfang.,en,"(der) chest circumference, bust measurement",,
hüftumfang,Hüftumfang.,en,"hip measurement, waist measurement",,
beinlänge,Und die Beinlänge.,en,(die) leg length,,
merkwürdig,Das ist merkwürdig.,en,"curious, odd, remarkable",,
heiligabend,Heiligabend,en,(der) Christmas eve,,
dächern,Auf den Dächern und den Straßen liegt…,en,Roofs,,
sausen,Die Kinder sausen um den Baum und…,en,"to move quickly, hurry, rush, run",,
weihnachtsfiguren,"…Kerzen, Kugeln, Perlenketten und Weihnachtsfiguren.",en,christmas figures,,
augenklappe,"Er trägt eine Augenklappe, Alle lieben Onkel Drosselmeyer;…",en,nf.  eye patch,,
kugeln,"…der Tannenbaum mit Kerzen, Kugeln, Perlenketten und Weihnachtsfiguren.",en,balls,,
unterhält,Man unterhält sich und lacht.,en,"v. entertain, amuse, interest; talk, converse; keep, look after, maintain; support",,
weihnachtssüßigkeiten,"…mit Spielzeug, Schmuck und Weihnachtssüßigkeiten.",en,Christmas sweets,,
geschmückt,…die Fenster mit Weihnachtsdekorationen geschmückt.,en,"ornamented, decorated",,
weihnachtslieder,Die Kinder singen Weihnachtslieder in den Straßen.,en,"Christmas carols, christmas songs",,
tannenbaum,"Im Wohnzimmer steht der Tannenbaum mit Kerzen, Kugeln, Perlenketten…",en,Christmas tree,,
perlenketten,"…Tannenbaum mit Kerzen, Kugeln, Perlenketten und Weihnachtsfiguren.",en,string of pearls (das),,
bescherung,…freuen sich auf die Bescherung.,en,giving of gifts,,
puppen,Sie liebt Puppen und hat sehr viele.,en,doll,,
spielsachen,…ist klug und kann Spielsachen bauen.,en,(die) toys (lit. play things),,
hüpft,"…Drosselmeyer!“, ruft Clara und hüpft ganz aufgeregt.",en,"to jump, spring, leap, skip",,
herzlich,Pfarrer begrüßt den Großvater herzlich,en,"heartily, sincerely, warmly, cordially, kindly",,
weht,Der Wind weht und es schneit.,en,"blow, wave, whiffle, flutter, waft, drift",,
drinnen,Aber hier drinnen ist es warm und…,en,"indoors, inside, within",,
resigniert,"…sein“, denkt Karo halb resigniert, halb amüsiert.",en,"resigned {adj} {past-p} ,    resignedly {adv}",,
becher,...und nahm dankbar den Becher.,en,"(der) cup, mug, large cup",,
besitzt,"Und bedauerlicherweise besitzt dein Vater etwas, das...",en,"possess, control",,
volk,"...zwingt den Pharao, das Volk nach Israel gehen zu...",en,"(das; -:er) nation, people, populace, folk, crowd",,
dutzend,...auch immer mindestens ein Dutzend mit.,en,dozen,,
raus,"Wir müssen unbedingt raus aus dem Wald“, sagt...",en,outside,,
weltklasse,...was für eine Stimme! Weltklasse!,en,(die) world-class,,
kümmern,Wir kümmern uns für Leute um...,en,"look after, take care of",,
sachlich,"...war perfekt. Ausführlich, detailliert, sachlich.",en,"factually, realistically, practically",,
reingeschrieben,"Ich habe alles reingeschrieben, was er wissen soll...",en,"recorded, inscribed",,
beleidigt,"...wissen soll!“, sagt Anton beleidigt.",en,"insulted, affronted, offended",,
ausdrücken,Oder wie es Anton ausdrücken würde: „Man kann es...,en,expressions,,
übersieht,...und dabei viel Gutes übersieht.,en,"overlooks, misses",,
ärgere,"...versucht, ihn zu trösten: „Ärgere dich nicht! Ich glaube, dein Chef ist mit seinem eigenen Leben so unglücklich, dass er unbedingt auch andere unglücklich machen muss. Deswegen sucht er immer ein Haar in jeder Suppe.“",en,get angry,,
trösten,"...Luigi versucht, ihn zu trösten: „Ärgere dich nicht! Ich...",en,"v.  comfort, console, relieve, soothe",,
anmerken,"Digory ließ sich nicht anmerken, wie aufgeregt er war.",en,"pay attention , notice",,
ließ sich nicht anmerken,"Digory ließ sich nicht anmerken, wie aufgeregt er war.",en,did not show,,
ewigkeiten,...Haus wohl schon seit Ewigkeiten leerstand.,en,(die) eternity,,
gespenster,...es dort ja vielleicht Gespenster gab.,en,"ghost, spirit (das)",,
kneifen,"...war, wollte keiner mehr kneifen.",en,"nip, squeeze tightly, pinch, squeeze, press",,
faszinieren,"...lassen sich von dem faszinieren, was sie nicht verstehen.",en,"fascinate, enchant, charm, captivate, attract",,
zusätzliches,Wenn ich nicht zusätzliches Material besorgen muss.,en,"extra, additional",,
ähnlichem,Erwidern Sie in ähnlichem Wortlaut: Für den förmlichen…,en,similar,,
hälfte,Über die Hälfte unserer Zuschauer haben das...,en,half,,
stieß,...an einem Stapel Bücher stieß.,uk,"наштовхнувся, штовхнув",,
verabredet,heute mit meinem Ehemann verabredet,en,"(pp) v. to arrange to meet, fix : collude, conspire together : [sich] arrange to meet (sb) : adj.  date, appointment, meeting",,
rate,Aus meiner Erfahrung rate ich Ihnen: Rufen Sie...,en,"advise, guess",,
bewundernd,...lieben dich!“ sagt Elsa bewundernd.,en,admiringly,,
berühmter,auch Krimis nicht so berühmter Autoren,en,"pl., famous",,
verlangsamen,"...schnell, wir müssen sie verlangsamen, aber ...“ „.",en,"to retard, to slow down, to decelerate",,
bequeme,Eines Morgens zieht Albert bequeme Schuhe an und holt...,en,convenient,,
ernsthaft,"Aber wir arbeiten ganz ernsthaft an physikalischen Problemen, viel...",en,"earnestly, seriously",,
ungestört,...liegt der ägyptische Pharao Tutanchamun ungestört in seiner Grabkammer.,en,"adj.  undisturbed, not bothered, not moved from its natural condition; unobstructed; unharmed, untouched",,
erfahren,"...wenn Sie mehr darüber erfahren wollen, wie man ein...",en,"v. experience, learn, discover, suffer",,
niemals,"...vielleicht zu erahnen, doch niemals vollständig zu begreifen, warum...",uk,"ніколи, жодного разу",,
knapp,Sie wohnten erst seit knapp einem Jahr auf dem,en,"adv.  barely, hardly, scarcely; concisely, succinctly, in a concise manner",,
beschäftigt,...wieder mit ihren Handys beschäftigt.,en,"busy, occupied, engaged;",,
häufig,"Was denkt ihr, wie häufig man solch ein Blatt…",en,"frequently, regularly, often",,
ungefähr,zweihundert Krimis gelesen und ungefähr genauso viele Kriminalfilme gesehen,en,"around, approximately, circa",,
beziehung,...als nur eine professionelle Beziehung?,en,"relationship, emotional connection",,
nix,"…weiß, ohne Englisch läuft nix in der Arbeitswelt.",en,"(slang for ""nichts"") nothing, not ... anything",,
familienfesten,…ihn sonst nur bei Familienfesten.,en,Family feasts,,
unbedingt,"...können, weil seine Freundin unbedingt dieses Wochenende am Strand...",en,"absolutely, unconditionally, definitely;",,
verletzt,FEUERWEHRHAUPTMANN: Sind Sie verletzt?,en,"injured, hurt; infringe, violate",,
unsinn,Aber das meiste ist Unsinn - sagt meine Tante.“,en,(der) nonsense,,
eigentlich,Eigentlich war es nichts als,en,"actually, in fact",,
schrei,"etwas fallen, einen kurzen Schrei und dann nichts mehr",en,"(der) cry, shout, scream",,
einbrüche,...gibt es sehr viele Einbrüche.'“,en,Burglaries,,
dieb,...Und das hat den Dieb nicht interessiert.“,en,(der) thief,,
stehlen,...ganzen Welt kommen und stehlen sie.,en,stealing,,
fange,Ich fange um Sieben Uhr morgens...,en,"(ich) v. begin, start",,
gewählt,"Er hat diesen Ort gewählt, um näher bei seiner…",en,"(adj) chosen, selected.",,
schlage,"...er die Pistole rausholt, schlage ich ihn nieder.",en,"(ich) v. punch, hit",,
topf,...Herd mit einem großen Topf heißer Suppe.,en,"(der) pan, pot",,
schluck,Zufrieden nimmt Bene einen Schluck aus der Bierflasche und...,en,"gulp, swallow, sip",,
bezirk,"...halbe Stadt, in den 13. Bezirk.",en,(der) district,,
beachtet,...ich vorher gar nicht beachtet habe.,en,"(er/sie/es) v. präs. heed, pay attention; listen; note, take notice of, observe; overlook",,
ändert,Doch der Pharao ändert seine Meinung und ruft...,en,"change, alter",,
bewiesen,"Mills hat mir bewiesen, dass es diese Vasen...",en,"prove, substantiate with evidence; demonstrate, show clearly, substantiate",,
aufläufe,…auch viele Pilzgerichte und Aufläufe ohne Fleisch.,en,casseroles,,
wellen,…sich dunkel in den Wellen.,en,"(die, -n) n. pl. waves",,
ragten,…auf der anderen Seite ragten aus dem Wasser wie…,en,"to tower, to loom [high], to project [protrude]",,
bewachsenen,"…Rechten an einen dicht bewachsenen Abhang, der steil abfiel…",en,"covered in, overgrown",,
abhang,"…an einen dicht bewachsenen Abhang, der steil abfiel zum…",en,"(der) slope, declivity, descent",,
hinüberzuschwingen,"…dass jemand versuchte, sich hinüberzuschwingen, und zappelnd daran hängen…",en,swing over,,
herabgefallene,"…auf, wie Glühwürmchen oder herabgefallene Sterne.",en,fallen,,
glühwürmchen,"…ersten Lichter auf, wie Glühwürmchen oder herabgefallene Sterne.",en,(das) firefly,,
berüchtigte,...der hat mal eine berüchtigte Räuberbande gehaust.,en,"adj. infamous, disreputable, notorious, known for disgrace",,
grundstück,...der Eingang zu ihrem Grundstück.,uk,"ділянка, земля, властивість",,
aufbruch,...ersten Mal seit ihrem Aufbruch nicht mehr dunkel vor...,en,(der) departure,,
schwindlig,"Ihr war schwindlig vor Müdigkeit, aber Mos...",en,"dizzy, light-headed,",,
gähnen,...und verkniff sich ein Gähnen.,en,yawn,,
stacheltor,"...wohl nicht hinter dem Stacheltor da, oder?«",en,thorn gate,,
eigens,"Sie hat es eigens anfertigen lassen, nach einem...",uk,"adv. спеціально, навмисно",,
lugte,...die kunstvoll verschlungenen Eisenstäbe lugte.,uk,"вдивлявся, уважно слідкувати, роздивлятись, роззирати",,
hecken,"...zu beiden Seiten hohe Hecken, die jede Sicht auf...",uk,живоплоти,,
großartig,Michael: Das ist ja großartig.,en,"awesome, great",,
rundum,"…Herzen, dass unsere Gäste rundum zufrieden sind.",en,all around,,
dornigen,"...hinter ihnen lag, mit dornigen Zweigen verwehrten.",en,"thorny, (spiny, prickly)",,
ziemlich,"Ich gehe ziemlich oft, vielleicht einmal pro...",ru,"довольно, достаточно, немало, восьма, изрядно, порядочно",,
verheißungsvolles,"...zwischen ihnen verschwand, nichts Verheißungsvolles entdecken.",en,"Full of promise, promising",,
raunte,"...Verwandtschaft aus, nicht wahr?«, raunte Staubfinger ihr ins Ohr.",en,"murmered, whispered",,
zögern,"...fürchte, sie würde ohne Zögern ihre Seele verkaufen, wenn...",en,hesitation,,
ausgibt,"was ihr an Kosten ausgibt, habt ihr natürlich weniger…",en,"give out, issue, expend, spend",,
böte,...dafür das richtige Buch böte.« Mit einem Ruck stieß...,en,"(ich//er/sie/es) v. prät. offered, bidded, proposed; offered a price, presented, submited",,
mit einem ruck,...das richtige Buch böte.« Mit einem Ruck stieß er das schwere...,uk,одним поштовхом,,
ruck,...Buch böte.« Mit einem Ruck stieß er das schwere...,en,"jerk, tug, pull, yank",,
passe,…fast 17 und außerdem passe ich auf sie auf.“,en,(auf)passen - watch (out),,
hecke,...hinter den Zweigen der Hecke verschwanden.,uk,жива огорожа,,
ereignissen,"Diese Geschichte handelt von Ereignissen, die sich vor langer...",uk,події,,
äußerst,"Es ist eine äußerst wichtige Geschichte, weil sie...",uk,надзвичайно,,
kragen,"...jeden Tag einen steifen Kragen tragen, und die Schulen...",uk,комір,,
hinwegstreckte,...und den Kopf darüber hinwegstreckte.,uk,витягнув,,
steifen,"...man jeden Tag einen steifen Kragen tragen, und die...",uk,жорсткий,,
gräßlicher,...waren im allgemeinen noch gräßlicher als heutzutage.,uk,страшніше,,
häuserzeile,...wohnte in einer langen Häuserzeile.,uk,ряд будинків,,
geradeso,"...er, und er sah geradeso aus, als hätte er...",uk,майже,,
pilzgerichte,Wir haben auch viele Pilzgerichte und Aufläufe ohne Fleisch.,en,mushroom dishes,,
regentropfen,"...die immer noch rinnenden Regentropfen, und sagte nichts.",en,"(der)  n. raindrop, one droplet of rainwater",,
schlaff,"…aber auch nicht zu schlaff- und macht eine kurze,…",uk,в’яло слабо,,
handschlag,…Der richtige Handschlag,en,(der) n. handshake,,
anwesenden,"Der Ankommende grüßt die Anwesenden: Wenn Sie das Konferenzzimmer,…",en,"someone present, a person present",,
empfangsraum,"…Sie das Konferenzzimmer, den Empfangsraum oder Fahrstuhl betreten, grüßen…",en,reception room,,
übliche,"Der in Deutschland allgemein übliche Gruß ist„ Guten Tag.""",en,"adj.  customary, conventional, traditionary, habitual; ordinary, regular, common",,
händegebens,Während des Händegebens schaut man seinem Gegenüber…,en,shaking hands,,
fahrstuhl,"…Konferenzzimmer, den Empfangsraum oder Fahrstuhl betreten, grüßen Sie die…",en,"(der) elevator, lift",,
dienststelle,"an der Dienststelle und beantwortet Mails, nimmt...",en,"(die, -n) n. office, department, division, section",,
erwiderung,"…Guten Tag."" wäre die Erwiderung„ Hallo."" zu salopp.",en,"nf.  response, reply, answer, rejoinder, reaction, reciprocation",,
vorgesetzten,Der Mitarbeiter grüßt den Vorgesetzten immer zuerst.,en,superior,,
diejenigen,"…Sie die Person oder diejenigen, die schon im Zimmer…",en,"those, the ones indicated",,
erwidern,Erwidern Sie in ähnlichem Wortlaut:…,en,"v.  reply, answer, respond, retort; reciprocate, return",,
salopp,"…die Erwiderung„ Hallo."" zu salopp.",en,casual,,
tatsächlich,"...Lindwurmstraße, weit ist das tatsächlich nicht.",en,"actually, in fact, truthfully, indeed, really",,
verbalen,…ob sie neben der verbalen Begrüßung auch die Hand…,en,"verbal, expressed in spoken words, spoken, oral",,
gefegt,"Arbeitstisch war wie blank gefegt, nicht ein Stempel, nicht",en,swept,,
gelogen,Hatte er doch nicht gelogen,en,(lügen) lied,,
sooft,"nicht ein einziges Wort, sooft sie ihm die Bücher",en,whenever,,
geworfen,"Luft hatte er Meggie geworfen, auf den Schultern durchs",en,thrown,,
basteln,aus Amselfedern ein Lesezeichen basteln konnte,en,"(basteln) to perform handicraft work, make handicraft objects",,
schoß,Bücher auch auf den Schoß gelegt hatte,en,lap,,
getauft,"den kleinen Raum so getauft, weil ihr Vater dort",en,"baptized, christened",,
klinke,Mo?« Meggie drückte die Klinke herunter,en,"(die) door latch, door handle",,
amselfedern,wie sie sich aus Amselfedern ein Lesezeichen basteln konnte,en,blackbird feathers,,
wertvollsten,ihr Vater dort seine wertvollsten Materialien lagerte: das feinste,en,most valuable,,
abstellkammer,"es nichts als eine Abstellkammer, aber Meggie hatte den",en,"(die)storage room, pantry",,
dummheit,"...ein Produkt der menschlichen Dummheit“, sagt er.",en,"stupidity, idiocy",,
gutherzig,Elsa ist gutherzig und mütterlich.,en,kind-hearted,,
decke,Die Decke bis ans Kinn gezogen...,en,blanket,,
getrennt,"...mehr, deshalb leben sie getrennt.",en,"separately, distinctly, separate, remove",,
behagt,...Das Leben in Prag behagt Albert nicht besonders.,en,"pleases, (with dative) to be to someone's liking",,
kanonen,"...will von Generälen und Kanonen, von Marschmusik und Paraden...",uk,гармати,,
klatschen,Die Leute klatschen laut.,en,(das) applause; gossip,,
gesundheitszustand,...Monaten hat sich der Gesundheitszustand meines Patienten sehr verschlechtert.,uk,стан здоров'я,,
kuraufenthalt,...rate zu einem längeren Kuraufenthalt in südlichem Klima.,uk,"курортне перебування, лікувальні заходи",,
krumm,...Erde ist das Universum krumm?,en,"crooked, twisted, bent, not straight",,
abbewegung,"…kurze, kleine Auf- und Abbewegung.",en,down movement,,
faulenzen,...im Garten arbeiten und faulenzen.,en,"to be lazy, lie around",,
spießen,"…Spitzen, ein Tor aus Spießen, das nur darauf wartete,…",ru,"(der, -en) n. pl. копьё; пика; вертел; шампур; шпажка",,
matt,"…aus mit all den matt glänzenden Spitzen, ein Tor…",en,"weary, exhausted, dull",,
ohnehin,"Nein, sie wollte ohnehin gehen.",en,anyway,,
betrachtete,Meggie betrachtete die ungelenken Buchstaben und...,ru,"(ich // er/sie/es) рассматривать, созерцать, оглядывать, оценивать, считать (кем-л., чем-л.); анализировать, трактовать",,
furcht,Es sah Furcht einflößend aus mit all…,en,"Dread, fear, horror",,
richtete,Meggie richtete sich auf,en,"straightened, directed, aimed, pointed",,
spitze,wenn es noch so spitze Zähne hatte,en,"pointy, top, sharp",,
hang,"...bevor er weiter den Hang hinaufführte, dann verlor er...",ru,"m  склочность, влечение; расположение",,
hinaufführte,"...er weiter den Hang hinaufführte, dann verlor er sich...",en,led up,,
schwung,"...Biegung, als wollte er Schwung holen, bevor er weiter...",ru,импульс,,
biegung,"...beschrieb der Weg eine Biegung, als wollte er Schwung...",ru,"изгиб, кривизна, прогиб, поворот, извилина",,
herrje,Ach herrje!,en,"Good God!, Good Gracious!, God in Heaven! (expression of surprise or anger)",,
säumten,"Sie säumten ihn so dicht, dass...",en,lined,,
geheult,"...sagen wollen, „... wenn du geheult hast“, aber dann fand...",en,"cried, howled",,
gepflegten,"...Platz, umgeben von sorgsam gepflegten Rosenbeeten, mündete.",en,cultivated,,
zurückwichen,...als die Bäume plötzlich zurückwichen und der Weg in...,en,retreated,,
umgeben,"...in einen kiesbestreuten Platz, umgeben von sorgsam gepflegten Rosenbeeten...",en,surrounded,,
brach,...Doch mitten im Satz brach sie ab.,en,broke,,
kies,"...Kombi stand auf dem Kies, vor einem Haus, das...",en,"(der) gravel, grit",,
offensichtlich,Offensichtlich war er so unglücklich...,en,"obviously, evidently",,
irgendeiner,"...völlig egal war, ob irgendeiner erfuhr, daß er geweint...",en,"anybody, anyone",,
zweige,"...so dicht, dass ihre Zweige einen Tunnel bildeten, und...",en,"branch, twig",,
mündete,"...von sorgsam gepflegten Rosenbeeten, mündete.",en,"led, flowed into",,
kombi,Ein grauer Kombi stand auf dem Kies...,en,"(der) n. hatchback, automobile with an upward-opening rear door; station wagon, family-sized automobile",,
kiesbestreuten,"...der Weg in einen kiesbestreuten Platz, umgeben von sorgsam...",en,graveled,,
sorgsam,"...kiesbestreuten Platz, umgeben von sorgsam gepflegten Rosenbeeten, mündete.",en,careful,,
wirkte,"...schönes Haus, aber es wirkte ebenso wenig einladend wie...",en,"look, appear to be, work, act, do; affect, influence, act on, set one's influence in motion; seem, give the impression of",,
putz,Vielleicht sah der ockergelbe Putz nur in der Abenddämmerung...,en,der = plaster; finery,,
abenddämmerung,...Putz nur in der Abenddämmerung so schmutzig aus.,en,(die) Dusk,,
abweisend,...dunklem Holz sah so abweisend aus wie ein zugekniffener...,ru,"неприступный, недружелюбный",,
zerschlissenen,"...ihnen nur zögernd, den zerschlissenen Rucksack, in dem Gwin...",en,"ragged,  tattered",,
vergittertes,"...Haustür war ein kleines vergittertes Fenster, das einzige, das...",en,barred,,
glocke,"Meggie hörte, wie die Glocke durch das große Haus...",en,"(die) bell, hollow metal object used to make a ringing sound; ringing sound made by a bell",,
unbehaglich,"...ihnen stehen und musterte unbehaglich die verschlossenen Fensterläden, als...",en,"uneasily, uncomfortably",,
verdächtigte,"...die verschlossenen Fensterläden, als verdächtigte er die Hausherrin, sie...",en,suspected,,
aufmunternd,...der schnitt ihr nur aufmunternd eine Grimasse und klingelte.,en,encouragingly,,
schrillte,...durch das große Haus schrillte.,uk,пронизливо дзвеніти,,
elster,Nur eine Elster flatterte schimpfend aus einem,uk,(die) сорока,,
wahr,...ist der Fluch doch wahr.,en,"true, correct",,
reißt,in Bücher und sie reißt auch keine Seiten heraus,en,"to tear, split",,
musterte,Meggie musterte ihn beunruhigt,en,examined,,
tote,"...Weise, wie man damals Tote mumifiziert hat.",uk,мертвий,,
